#t x y z vx vy vz
1.482192000000000000e+17 5.627144069066989687e+02 2.340060557097932303e+02 -1.147308395640928751e+02 1.073147215696504020e+02 8.046639058780634457e+00 -6.024154362442871502e+01
1.513728000000000000e+17 5.736031847245164954e+02 2.347958737387898793e+02 -1.209197193915405251e+02 1.057703723041240380e+02 7.409498596683283367e+00 -6.087012391710956649e+01
1.545264000000000000e+17 5.843359817968899961e+02 2.355218327597349628e+02 -1.271716015800430455e+02 1.042622971064523938e+02 6.796966877657846240e+00 -6.147445187586522763e+01
1.576800000000000000e+17 5.949164156781286010e+02 2.361863707221827724e+02 -1.334840833571178109e+02 1.027887406252440172e+02 6.207535232686640647e+00 -6.205601173993743913e+01
1.608336000000000000e+17 6.053479304805201764e+02 2.367917777685589158e+02 -1.398549073734367312e+02 1.013480640835519040e+02 5.639819857782456758e+00 -6.261616509052978330e+01
1.639872000000000000e+17 6.156338082891479644e+02 2.373402083393555415e+02 -1.462819498106669869e+02 9.993873550925472671e+01 5.092548973384559474e+00 -6.315616344637850688e+01
1.671408000000000000e+17 6.257771796277156682e+02 2.378336920459894372e+02 -1.527632096982398195e+02 9.855932093363749402e+01 4.564551549063121882e+00 -6.367715932598388662e+01
1.702944000000000000e+17 6.357810330687760825e+02 2.382741434600990829e+02 -1.592967992932953223e+02 9.720847644943839327e+01 4.054747374349148004e+00 -6.418021599092438123e+01
1.734480000000000000e+17 6.456482240713272631e+02 2.386633709474176044e+02 -1.658809353982441905e+02 9.588494103297465188e+01 3.562138290982854727e+00 -6.466631605099243529e+01
1.766016000000000000e+17 6.553814831195859369e+02 2.390030846569370055e+02 -1.725139315074365527e+02 9.458753004658260011e+01 3.085800430358509594e+00 -6.513636908405305803e+01
1.797552000000000000e+17 6.649834232287036002e+02 2.392949037613204837e+02 -1.791941906888743290e+02 9.331512934772777612e+01 2.624877323573275856e+00 -6.559121840042789131e+01
1.829088000000000000e+17 6.744565468761143165e+02 2.395403630319738113e+02 -1.859201991191864920e+02 9.206668993995567973e+01 2.178573771164703743e+00 -6.603164706236762527e+01
1.860624000000000000e+17 6.838032524109721635e+02 2.397409188214874405e+02 -1.926905202005640945e+02 9.084122310853690863e+01 1.746150376067852505e+00 -6.645838325309148331e+01
1.892160000000000000e+17 6.930258399886356528e+02 2.398979545170063261e+02 -1.995037891973185538e+02 8.963779599036091383e+01 1.326918657117946987e+00 -6.687210507637773560e+01
1.923696000000000000e+17 7.021265170723014535e+02 2.400127855202287606e+02 -2.063587083374225415e+02 8.845552753348344766e+01 9.202366720349659523e-01 -6.727344485632934834e+01
1.955232000000000000e+17 7.111074035395928377e+02 2.400866638029731917e+02 -2.132540423310183542e+02 8.729358480684609845e+01 5.255050886307428559e-01 -6.766299299734416195e+01
1.986768000000000000e+17 7.199705364281024913e+02 2.401207820814161948e+02 -2.201886142635981969e+02 8.615117962516117700e+01 1.421636512842958111e-01 -6.804130145618957215e+01
2.018304000000000000e+17 7.287178743505108969e+02 2.401162776470529252e+02 -2.271613018265121013e+02 8.502756545787644882e+01 -2.303120032120729022e-01 -6.840888687117299582e+01
